model,protocols_n,siblings_n,protocols_mean,siblings_mean,protocols_median,siblings_median,delta_mean_protocols_minus_siblings,delta_median_protocols_minus_siblings,mannwhitney_u,mannwhitney_p_two_sided,welch_t,welch_p_two_sided,cohen_d,cliffs_delta
gpt-oss-120b-medium-v2,14,20,26.985714285714288,16.548134920634922,26.35,15.2875,10.437579365079365,11.062500000000002,241.5,0.0004035076770220178,5.614358338994147,5.170874676330565e-06,1.7322496400976692,0.725
qwen3-next-80b-a3b-instruct-fp8-v2,14,20,23.97142857142857,11.691428571428572,24.95,8.0,12.28,16.95,263.5,1.074094962309232e-05,6.101405038063256,1.442500146518364e-06,2.133969474070994,0.8821428571428571
