model,delta_total_protocols_minus_siblings,delta_repro_protocols_minus_siblings
gpt-oss-120b-medium-v2,-11.798809523809517,10.437579365079365
qwen3-next-80b-a3b-instruct-fp8-v2,-18.242222222222217,12.28
