model,score_type,protocols_n,siblings_n,protocols_mean,siblings_mean,protocols_median,siblings_median,protocols_std,siblings_std,delta_protocols_minus_siblings,cohen_d_protocols_vs_siblings
gpt-oss-120b-medium-v2,total_100,14,20,57.98571428571429,69.7845238095238,58.55,68.22777777777779,2.970070484234117,10.251974265460223,-11.798809523809517,-1.4524590192596507
gpt-oss-120b-medium-v2,repro_100,14,20,26.985714285714288,16.548134920634922,26.35,15.2875,3.273637624524635,7.3358364866138475,10.437579365079365,1.7322496400976692
qwen3-next-80b-a3b-instruct-fp8-v2,total_100,14,20,59.31587301587302,77.55809523809523,56.35,83.0,8.937219797410773,8.441729050042902,-18.242222222222217,-2.109793935189205
qwen3-next-80b-a3b-instruct-fp8-v2,repro_100,14,20,23.97142857142857,11.691428571428572,24.95,8.0,5.82345474376037,5.7068982322158055,12.28,2.133969474070994
