group,papers,pearson_total,spearman_total,pearson_repro,spearman_repro
all,34,0.7346468245019286,0.7463319364063822,0.7603113338273961,0.7346486633258066
nat_protocols,14,-0.055795215998038945,0.006600664060208366,-0.13149735227113754,-0.1912087912087912
nat_siblings,20,0.7607889527645978,0.768038020657636,0.7947225613614506,0.7710820915847703
