model,group,papers,nodes_mean,material_edges_mean,logical_edges_mean,material_nonzero_rate,logical_nonzero_rate,combined_pass_rate,combined_isolated_rate_mean,corr_repro_vs_connectivity,corr_total_vs_connectivity
gpt-oss-120b-medium-v2,nat_protocols,14,10,2.7142857142857144,4.857142857142857,0.5,0.8571428571428571,0.14285714285714285,0.4,0.6895558575619893,-0.4641573149978716
gpt-oss-120b-medium-v2,nat_siblings,20,8.75,1,1.6,0.3,0.7,0.0,0.65765,0.7576381603591036,-0.7205181937963498
qwen3-next-80b-a3b-instruct-fp8-v2,nat_protocols,14,9.5,3.5714285714285716,9.357142857142858,0.6428571428571429,1.0,0.5714285714285714,0.17857142857142858,0.6581980705835945,-0.7370480115048326
qwen3-next-80b-a3b-instruct-fp8-v2,nat_siblings,20,7.75,3.05,3.3,0.3,0.8,0.1,0.5026,0.6059667201012969,-0.5808115900697912
