model,protocols_n,siblings_n,protocols_mean,siblings_mean,protocols_median,siblings_median,delta_mean_protocols_minus_siblings,delta_median_protocols_minus_siblings,mannwhitney_u,mannwhitney_p_two_sided,welch_t,welch_p_two_sided,cohen_d,cliffs_delta
gpt_directcore,14,20,23.228571428571428,13.900833333333333,22.85,12.899999999999999,9.327738095238095,9.950000000000003,247.0,0.00018621755389202225,5.561992416758692,3.871288346718843e-06,1.8184283440033961,0.7642857142857142
qwen_directcore,14,20,22.265079365079366,14.754047619047618,23.955555555555556,11.3375,7.5110317460317475,12.618055555555555,210.0,0.01484694463031733,3.4976014366617085,0.001405807912986673,1.132737828418396,0.5
