model,group,papers,nodes_mean,material_edges_mean,logical_edges_mean,material_nonzero_rate,logical_nonzero_rate,combined_pass_rate,combined_isolated_rate_mean,corr_repro_vs_connectivity,corr_total_vs_connectivity
gpt-oss-120b-high-directcore,nat_protocols,14,10,0,6,0.0,0.9285714285714286,0.14285714285714285,0.4,0.38534953764164476,-0.4406338455621676
gpt-oss-120b-high-directcore,nat_siblings,20,9.35,0,2.65,0.0,0.75,0.05,0.6289,0.5302283325912963,-0.512096264167117
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,14,9.571428571428571,0.14285714285714285,11.428571428571429,0.14285714285714285,1.0,0.6428571428571429,0.18571428571428572,0.5895079849121502,-0.2762534681786319
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,20,7.95,0.5,3.75,0.1,0.8,0.15,0.52425,0.47882883085103745,-0.5700947408142417
