model,group,papers,nodes_mean,material_edges_mean,logical_edges_mean,material_nonzero_rate,logical_nonzero_rate,combined_pass_rate,combined_isolated_rate_mean,corr_repro_vs_connectivity,corr_total_vs_connectivity
gpt-oss-120b-high-hlcore,nat_protocols,14,10,3.357142857142857,7,0.7857142857142857,0.8571428571428571,0.2857142857142857,0.32142857142857145,0.70782588408959,-0.6108265995939739
gpt-oss-120b-high-hlcore,nat_siblings,20,9.1,0.95,2.1,0.3,0.75,0.0,0.61305,0.764538502509456,-0.672354456394014
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,14,9.5,2.0714285714285716,10.928571428571429,0.5714285714285714,1.0,0.6428571428571429,0.12142857142857143,0.2109859092597599,0.043502228113527414
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,20,7.8,2.4,3.35,0.25,0.8,0.2,0.49295,0.5225557175258295,-0.43816027242499717
