model,group,papers,nodes_mean,material_edges_mean,logical_edges_mean,material_nonzero_rate,logical_nonzero_rate,combined_pass_rate,combined_isolated_rate_mean,corr_repro_vs_connectivity,corr_total_vs_connectivity
gpt-oss-120b-high-directcore,nat_protocols,14,10,0,6,0.0,0.9285714285714286,0.14285714285714285,0.4,0.38534953764164476,-0.4406338455621676
gpt-oss-120b-high-directcore,nat_siblings,20,9.35,0,2.65,0.0,0.75,0.05,0.6289,0.5302283325912963,-0.512096264167117
gpt-oss-120b-high-hlcore,nat_protocols,14,10,3.357142857142857,7,0.7857142857142857,0.8571428571428571,0.2857142857142857,0.32142857142857145,0.70782588408959,-0.6108265995939739
gpt-oss-120b-high-hlcore,nat_siblings,20,9.1,0.95,2.1,0.3,0.75,0.0,0.61305,0.764538502509456,-0.672354456394014
