model,protocols_n,siblings_n,protocols_mean,siblings_mean,protocols_median,siblings_median,delta_mean_protocols_minus_siblings,delta_median_protocols_minus_siblings,mannwhitney_u,mannwhitney_p_two_sided,welch_t,welch_p_two_sided,cohen_d,cliffs_delta
gpt_directcore,14,20,23.228571428571428,13.900833333333333,22.85,12.899999999999999,9.327738095238095,9.950000000000003,247.0,0.00018621755389202225,5.561992416758692,3.871288346718843e-06,1.8184283440033961,0.7642857142857142
gpt_hlcore,14,20,26.192857142857143,15.871825396825397,26.4,15.4,10.321031746031746,10.999999999999998,237.0,0.0007082071639880739,4.632109125604611,5.911073696540864e-05,1.5418385144819642,0.6928571428571428
