run,papers,mean_total_score_100,mean_repro_score_100,mean_units_per_paper,sum_units,scored_units,failed_units,papers_with_failure,connection_refused_units
gpt_hlcore,34,58.72407796451914,20.121661998132588,9.470588235294118,322,322,0,0,0
gpt_directcore,34,69.29877450980392,17.741666666666667,9.617647058823529,327,326,1,1,0
qwen_hlcore,34,61.04117647058823,16.155228758169933,8.5,289,288,1,1,0
qwen_directcore,34,68.39625350140057,17.8468253968254,8.617647058823529,293,293,0,0,0
