run,group,paper,number_of_units,mean_total_score_100,mean_repro_score_100,failed_units,connection_refused_units
qwen_hlcore,nat_protocols,s41596-023-00827-6,5,52.4,25.4,0,0
qwen_hlcore,nat_protocols,s41596-023-00880-1,10,64.5,17.4,0,0
qwen_hlcore,nat_protocols,s41596-023-00929-1,10,54.8,22.5,0,0
qwen_hlcore,nat_protocols,s41596-025-01197-x,10,62.0,14.5,0,0
qwen_hlcore,nat_protocols,s41596-025-01236-7,10,60.4,19.8,0,0
qwen_hlcore,nat_protocols,s41596-025-01299-6,10,62.5,17.6,0,0
qwen_hlcore,nat_siblings,s41467-020-19142-9,6,57.0,18.333333333333332,0,0
qwen_hlcore,nat_siblings,s41467-021-27464-5,10,60.6,24.2,0,0
qwen_hlcore,nat_siblings,s41467-024-55567-2,10,62.9,17.6,0,0
qwen_hlcore,nat_siblings,s41467-025-68247-6,10,51.5,24.3,0,0
qwen_hlcore,nat_siblings,s41586-018-0024-3,1,67.0,8.0,0,0
qwen_hlcore,nat_siblings,s41586-019-1654-9,1,67.0,8.0,0,0
qwen_hlcore,nat_siblings,s41586-021-03209-8,10,60.1,15.6,0,0
qwen_hlcore,nat_siblings,s41586-023-06473-y,10,66.1,10.1,0,0
qwen_hlcore,nat_siblings,s41586-023-06564-w,10,58.44444444444444,23.444444444444443,1,0
qwen_hlcore,nat_siblings,s41586-024-08172-8,10,66.1,8.5,0,0
qwen_hlcore,nat_siblings,s41587-023-01718-7,10,67.0,8.0,0,0
qwen_hlcore,nat_siblings,s41587-023-01747-2,8,64.75,11.25,0,0
qwen_hlcore,nat_siblings,s41588-021-00972-2,10,67.0,8.0,0,0
qwen_hlcore,nat_siblings,s41588-025-02182-6,7,67.0,8.0,0,0
qwen_hlcore,nat_siblings,s41591-024-02807-z,9,67.0,8.0,0,0
qwen_hlcore,nat_siblings,s41592-021-01344-8,8,64.75,11.25,0,0
qwen_hlcore,nat_siblings,s41592-021-01391-1,10,66.1,10.5,0,0
qwen_hlcore,nat_siblings,s41592-024-02555-5,8,67.0,8.0,0,0
qwen_hlcore,nat_siblings,s41592-025-02927-5,7,67.0,8.0,0,0
qwen_hlcore,nat_siblings,s41593-021-00923-4,1,67.0,8.0,0,0
qwen_directcore,nat_protocols,s41596-019-0213-z,9,51.666666666666664,24.11111111111111,0,0
qwen_directcore,nat_protocols,s41596-020-00441-w,10,51.0,28.6,0,0
qwen_directcore,nat_protocols,s41596-020-00474-1,10,80.5,9.9,0,0
qwen_directcore,nat_protocols,s41596-020-0379-4,10,63.7,23.8,0,0
qwen_directcore,nat_protocols,s41596-021-00562-w,10,61.6,20.8,0,0
qwen_directcore,nat_protocols,s41596-021-00603-4,10,58.1,20.5,0,0
qwen_directcore,nat_protocols,s41596-021-00629-8,10,58.1,24.6,0,0
qwen_directcore,nat_protocols,s41596-023-00814-x,10,54.6,28.9,0,0
qwen_directcore,nat_protocols,s41596-023-00827-6,5,56.2,24.8,0,0
qwen_directcore,nat_protocols,s41596-023-00880-1,10,64.9,24.2,0,0
qwen_directcore,nat_protocols,s41596-023-00929-1,10,57.1,19.9,0,0
qwen_directcore,nat_protocols,s41596-025-01197-x,10,71.2,15.7,0,0
qwen_directcore,nat_protocols,s41596-025-01236-7,10,67.6,21.5,0,0
qwen_directcore,nat_protocols,s41596-025-01299-6,10,63.1,24.4,0,0
qwen_directcore,nat_siblings,s41467-020-19142-9,6,64.16666666666667,25.166666666666668,0,0
qwen_directcore,nat_siblings,s41467-021-27464-5,10,65.3,28.6,0,0
qwen_directcore,nat_siblings,s41467-024-55567-2,10,55.6,25.0,0,0
qwen_directcore,nat_siblings,s41467-025-68247-6,10,46.7,28.2,0,0
qwen_directcore,nat_siblings,s41586-018-0024-3,1,83.0,8.0,0,0
qwen_directcore,nat_siblings,s41586-019-1654-9,1,83.0,8.0,0,0
qwen_directcore,nat_siblings,s41586-021-03209-8,10,68.4,16.2,0,0
qwen_directcore,nat_siblings,s41586-023-06473-y,10,80.0,9.9,0,0
qwen_directcore,nat_siblings,s41586-023-06564-w,10,59.8,26.3,0,0
qwen_directcore,nat_siblings,s41586-024-08172-8,10,76.5,12.1,0,0
qwen_directcore,nat_siblings,s41587-023-01718-7,10,75.5,11.3,0,0
qwen_directcore,nat_siblings,s41587-023-01747-2,8,76.375,11.375,0,0
qwen_directcore,nat_siblings,s41588-021-00972-2,10,83.0,8.0,0,0
qwen_directcore,nat_siblings,s41588-025-02182-6,7,83.0,8.0,0,0
qwen_directcore,nat_siblings,s41591-024-02807-z,10,78.9,9.7,0,0
qwen_directcore,nat_siblings,s41592-021-01344-8,7,62.714285714285715,17.714285714285715,0,0
qwen_directcore,nat_siblings,s41592-021-01391-1,10,81.4,10.1,0,0
qwen_directcore,nat_siblings,s41592-024-02555-5,10,83.0,9.3,0,0
qwen_directcore,nat_siblings,s41592-025-02927-5,8,76.75,14.125,0,0
qwen_directcore,nat_siblings,s41593-021-00923-4,1,83.0,8.0,0,0
