model,group,papers,nodes_mean,material_edges_mean,logical_edges_mean,material_nonzero_rate,logical_nonzero_rate,combined_pass_rate,combined_isolated_rate_mean,corr_repro_vs_connectivity,corr_total_vs_connectivity
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_protocols,14,9.571428571428571,0.14285714285714285,11.428571428571429,0.14285714285714285,1.0,0.6428571428571429,0.18571428571428572,0.5895079849121502,-0.2762534681786319
qwen3-next-80b-a3b-instruct-fp8-directcore,nat_siblings,20,7.95,0.5,3.75,0.1,0.8,0.15,0.52425,0.47882883085103745,-0.5700947408142417
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_protocols,14,9.5,2.0714285714285716,10.928571428571429,0.5714285714285714,1.0,0.6428571428571429,0.12142857142857143,0.2109859092597599,0.043502228113527414
qwen3-next-80b-a3b-instruct-fp8-hlcore,nat_siblings,20,7.8,2.4,3.35,0.25,0.8,0.2,0.49295,0.5225557175258295,-0.43816027242499717
