model,protocols_n,siblings_n,protocols_mean,siblings_mean,protocols_median,siblings_median,delta_mean_protocols_minus_siblings,delta_median_protocols_minus_siblings,mannwhitney_u,mannwhitney_p_two_sided,welch_t,welch_p_two_sided,cohen_d,cliffs_delta
gpt-oss-120b-v7,14,20,27.238888888888887,23.18779761904762,27.2,24.833333333333336,4.051091269841269,2.3666666666666636,188.0,0.09638013232992138,1.7630764041242915,0.08953800196007375,0.5368053799678607,0.34285714285714286
qwen3-next-80b-a3b-instruct-fp8-v7,14,20,25.81374716553288,19.065277777777776,26.15,16.285714285714285,6.7484693877551045,9.864285714285714,202.0,0.031225106459702126,3.1346560099432237,0.003885588160769072,0.9780830875339083,0.44285714285714284
