model,group,paper,nodes,material_edges,logical_edges,inter_edges,material_edge_density,logical_edge_density,material_isolated_rate,logical_isolated_rate,combined_isolated_rate,material_pass,logical_pass,combined_pass,mean_total_score_100,mean_repro_score_100,num_units
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-020-0379-4,10,14,14,14,0.15555555555555556,0.15555555555555556,0.3,0.1,0.1,False,False,False,72.1,25.1,10.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-021-00562-w,4,12,0,12,1.0,0.0,0.0,1.0,0.0,True,False,True,71.5,31.0,4.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-021-00603-4,10,4,10,4,0.044444444444444446,0.1111111111111111,0.5,0.0,0.0,False,True,True,79.4,24.3,10.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-021-00629-8,6,1,2,1,0.03333333333333333,0.06666666666666667,0.667,0.333,0.167,False,False,False,76.16666666666667,24.833333333333332,6.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-023-00814-x,10,10,4,10,0.1111111111111111,0.044444444444444446,0.5,0.3,0.1,False,False,False,66.0,23.1,10.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-023-00827-6,9,9,4,9,0.125,0.05555555555555555,0.556,0.333,0.222,False,False,False,70.0,18.555555555555557,9.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-023-00880-1,10,7,8,7,0.07777777777777778,0.08888888888888889,0.6,0.0,0.0,False,True,True,76.9,25.9,10.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-023-00929-1,10,31,14,31,0.34444444444444444,0.15555555555555556,0.3,0.0,0.0,False,True,True,76.2,27.8,10.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-025-01197-x,10,0,4,0,0.0,0.044444444444444446,1.0,0.4,0.4,False,False,False,68.5,26.4,10.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-025-01236-7,10,20,4,20,0.2222222222222222,0.044444444444444446,0.2,0.6,0.2,False,False,False,75.9,28.1,10.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_protocols,s41596-025-01299-6,7,17,8,17,0.40476190476190477,0.19047619047619047,0.143,0.143,0.0,False,False,True,74.71428571428571,31.0,7.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41467-020-19142-9,9,1,4,1,0.013888888888888888,0.05555555555555555,0.778,0.222,0.222,False,False,False,77.66666666666667,28.11111111111111,9.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41467-021-27464-5,9,7,9,7,0.09722222222222222,0.125,0.444,0.0,0.0,False,True,True,68.55555555555556,29.0,9.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41467-024-55567-2,9,2,5,2,0.027777777777777776,0.06944444444444445,0.778,0.222,0.222,False,False,False,70.44444444444444,26.0,9.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41467-025-68247-6,10,7,9,7,0.07777777777777778,0.1,0.4,0.0,0.0,False,True,True,73.8,29.0,10.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41586-018-0024-3,1,0,0,0,,,1.0,1.0,1.0,False,False,False,61.0,8.0,1.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41586-019-1654-9,6,5,5,5,0.16666666666666666,0.16666666666666666,0.167,0.0,0.0,False,True,True,71.33333333333333,30.333333333333332,6.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41586-021-03209-8,7,4,5,4,0.09523809523809523,0.11904761904761904,0.571,0.143,0.0,False,False,True,72.0,25.428571428571427,7.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41586-023-06473-y,3,0,1,0,0.0,0.16666666666666666,1.0,0.333,0.333,False,False,False,70.33333333333333,30.0,3.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41586-023-06564-w,9,4,5,4,0.05555555555555555,0.06944444444444445,0.667,0.222,0.222,False,False,False,71.88888888888889,25.555555555555557,9.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41586-024-08172-8,9,8,7,8,0.1111111111111111,0.09722222222222222,0.556,0.0,0.0,False,True,True,65.44444444444444,14.88888888888889,9.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41587-023-01718-7,7,0,2,0,0.0,0.047619047619047616,1.0,0.429,0.429,False,False,False,64.28571428571429,17.428571428571427,7.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41587-023-01747-2,7,0,0,0,0.0,0.0,1.0,1.0,1.0,False,False,False,64.28571428571429,15.142857142857142,7.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41588-021-00972-2,3,0,0,0,0.0,0.0,1.0,1.0,1.0,False,False,False,62.666666666666664,14.666666666666666,3.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41588-025-02182-6,4,2,2,2,0.16666666666666666,0.16666666666666666,0.5,0.25,0.0,False,False,True,67.25,22.75,4.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41591-024-02807-z,5,0,1,0,0.0,0.05,1.0,0.6,0.6,False,False,False,61.8,13.0,5.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41592-021-01344-8,5,0,0,0,0.0,0.0,1.0,1.0,1.0,False,False,False,63.4,13.0,5.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41592-021-01391-1,3,0,1,0,0.0,0.16666666666666666,1.0,0.333,0.333,False,False,False,75.66666666666667,15.0,3.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41592-024-02555-5,1,0,0,0,,,1.0,1.0,1.0,False,False,False,50.0,8.0,1.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41592-025-02927-5,4,0,3,0,0.0,0.25,1.0,0.0,0.0,False,True,True,61.0,8.0,4.0
qwen3-next-80b-a3b-instruct-fp8-v7,nat_siblings,s41593-021-00923-4,1,0,0,0,,,1.0,1.0,1.0,False,False,False,61.0,8.0,1.0
