group,paper,unit,total_score_100
nat_siblings,s41467-024-55567-2,unit_004,50.000000
nat_siblings,s41467-024-55567-2,unit_005,50.000000
nat_siblings,s41467-024-55567-2,unit_006,50.000000
nat_siblings,s41467-024-55567-2,unit_007,53.000000
nat_siblings,s41467-024-55567-2,unit_008,75.000000
nat_siblings,s41467-024-55567-2,unit_009,83.000000
nat_siblings,s41467-025-68247-6,unit_001,63.000000
nat_siblings,s41467-025-68247-6,unit_002,50.000000
nat_siblings,s41467-025-68247-6,unit_003,58.000000
nat_siblings,s41467-025-68247-6,unit_004,50.000000
nat_siblings,s41467-025-68247-6,unit_005,58.000000
nat_siblings,s41467-025-68247-6,unit_006,33.000000
nat_siblings,s41467-025-68247-6,unit_007,50.000000
nat_siblings,s41467-025-68247-6,unit_008,75.000000
nat_siblings,s41467-025-68247-6,unit_009,50.000000
nat_siblings,s41467-025-68247-6,unit_010,50.000000
nat_siblings,s41586-018-0024-3,unit_001,83.000000
nat_siblings,s41586-018-0024-3,unit_002,83.000000
nat_siblings,s41586-018-0024-3,unit_003,83.000000
nat_siblings,s41586-018-0024-3,unit_004,83.000000
nat_siblings,s41586-018-0024-3,unit_005,83.000000
nat_siblings,s41586-018-0024-3,unit_006,83.000000
nat_siblings,s41586-018-0024-3,unit_007,83.000000
nat_siblings,s41586-018-0024-3,unit_008,83.000000
nat_siblings,s41586-018-0024-3,unit_009,83.000000
nat_siblings,s41586-019-1654-9,unit_001,83.000000
nat_siblings,s41586-019-1654-9,unit_002,83.000000
nat_siblings,s41586-019-1654-9,unit_003,58.000000
nat_siblings,s41586-019-1654-9,unit_004,83.000000
nat_siblings,s41586-019-1654-9,unit_005,83.000000
nat_siblings,s41586-019-1654-9,unit_006,83.000000
nat_siblings,s41586-019-1654-9,unit_007,83.000000
nat_siblings,s41586-019-1654-9,unit_008,83.000000
nat_siblings,s41586-021-03209-8,unit_001,58.000000
nat_siblings,s41586-021-03209-8,unit_002,58.000000
nat_siblings,s41586-021-03209-8,unit_003,50.000000
nat_siblings,s41586-021-03209-8,unit_004,50.000000
nat_siblings,s41586-021-03209-8,unit_005,58.000000
nat_siblings,s41586-021-03209-8,unit_006,83.000000
nat_siblings,s41586-021-03209-8,unit_007,58.000000
nat_siblings,s41586-021-03209-8,unit_008,42.000000
nat_siblings,s41586-021-03209-8,unit_009,58.000000
nat_siblings,s41586-021-03209-8,unit_010,67.000000
nat_siblings,s41586-023-06473-y,unit_001,83.000000
nat_siblings,s41586-023-06473-y,unit_002,83.000000
nat_siblings,s41586-023-06473-y,unit_003,83.000000
nat_siblings,s41586-023-06473-y,unit_004,75.000000
nat_siblings,s41586-023-06473-y,unit_005,83.000000
nat_siblings,s41586-023-06473-y,unit_006,83.000000
nat_siblings,s41586-023-06473-y,unit_007,83.000000
nat_siblings,s41586-023-06473-y,unit_008,83.000000
nat_siblings,s41586-023-06473-y,unit_009,75.000000
nat_siblings,s41586-023-06473-y,unit_010,58.000000
nat_siblings,s41586-023-06564-w,unit_001,58.000000
nat_siblings,s41586-023-06564-w,unit_002,44.000000
nat_siblings,s41586-023-06564-w,unit_003,58.000000
nat_siblings,s41586-023-06564-w,unit_004,50.000000
nat_siblings,s41586-023-06564-w,unit_005,83.000000
nat_siblings,s41586-023-06564-w,unit_006,58.000000
nat_siblings,s41586-023-06564-w,unit_007,54.000000
nat_siblings,s41586-023-06564-w,unit_008,58.000000
nat_siblings,s41586-023-06564-w,unit_009,63.000000
nat_siblings,s41586-023-06564-w,unit_010,50.000000
nat_siblings,s41586-024-08172-8,unit_001,83.000000
nat_siblings,s41586-024-08172-8,unit_002,83.000000
nat_siblings,s41586-024-08172-8,unit_003,83.000000
nat_siblings,s41586-024-08172-8,unit_004,75.000000
nat_siblings,s41586-024-08172-8,unit_005,83.000000
nat_siblings,s41586-024-08172-8,unit_006,83.000000
nat_siblings,s41586-024-08172-8,unit_007,75.000000
nat_siblings,s41586-024-08172-8,unit_008,83.000000
nat_siblings,s41586-024-08172-8,unit_009,83.000000
nat_siblings,s41586-024-08172-8,unit_010,83.000000
nat_siblings,s41587-023-01718-7,unit_001,58.000000
nat_siblings,s41587-023-01718-7,unit_002,58.000000
nat_siblings,s41587-023-01718-7,unit_003,75.000000
nat_siblings,s41587-023-01718-7,unit_004,83.000000
nat_siblings,s41587-023-01718-7,unit_005,62.000000
nat_siblings,s41587-023-01718-7,unit_006,83.000000
nat_siblings,s41587-023-01718-7,unit_007,83.000000
nat_siblings,s41587-023-01718-7,unit_008,75.000000
